id,type,userId,createdAt,targetUser
0,WELCOME,0,2021-11-19 18:00:10.202,
1,CONNECT_CRM,0,2021-11-19 19:35:42.629,
2,EDIT_CONTACT,0,2021-12-04 06:19:09.392,
3,EDIT_CONTACT,0,2021-12-11 16:13:26.087,
4,EDIT_CONTACT,0,2021-11-25 06:07:13.350,
5,ADD_CONTACT,0,2021-11-20 19:49:13.006,
6,VIEW_CONTACTS,0,2021-12-05 01:19:41.810,
7,EDIT_CONTACT,0,2021-12-05 07:40:00.357,
8,ADD_CONTACT,0,2021-12-08 18:04:52.678,
9,VIEW_CONTACTS,0,2021-12-04 12:22:35.034,
10,ADD_CONTACT,0,2021-11-22 00:37:25.200,
11,EDIT_CONTACT,0,2021-12-25 11:41:03.344,
12,EDIT_CONTACT,0,2021-12-02 02:12:57.466,
13,ADD_CONTACT,0,2021-12-20 04:09:57.859,
14,EDIT_CONTACT,0,2021-12-12 14:13:32.269,
15,EDIT_CONTACT,0,2021-12-15 19:27:19.247,
16,EDIT_CONTACT,0,2021-12-24 21:30:57.683,
17,EDIT_CONTACT,0,2021-11-25 04:08:49.089,
18,EDIT_CONTACT,0,2021-11-30 08:55:25.045,
19,VIEW_CONTACTS,0,2021-12-21 21:29:52.210,
20,EDIT_CONTACT,0,2021-12-15 15:48:41.658,
21,EDIT_CONTACT,0,2021-12-17 17:27:11.956,
22,EDIT_CONTACT,0,2021-12-16 08:12:36.536,
23,ADD_CONTACT,0,2021-12-31 23:10:24.161,
24,VIEW_CONTACTS,0,2021-12-30 03:15:16.010,
25,VIEW_CONTACTS,0,2021-11-29 00:49:57.642,
26,EDIT_CONTACT,0,2021-11-21 07:01:23.519,
27,VIEW_CONTACTS,0,2021-11-29 11:00:08.192,
28,EDIT_CONTACT,0,2021-12-25 03:24:13.055,
29,VIEW_CONTACTS,0,2021-12-18 18:56:25.988,
30,VIEW_CONTACTS,0,2021-11-26 03:55:25.854,
31,EDIT_CONTACT,0,2021-12-06 02:24:26.194,
32,ADD_CONTACT,0,2021-12-20 23:12:52.242,
33,EDIT_CONTACT,0,2021-12-26 06:49:51.664,
34,ADD_CONTACT,0,2021-11-24 15:25:06.314,
35,EDIT_CONTACT,0,2021-11-30 14:13:28.966,
36,VIEW_CONTACTS,0,2021-12-10 16:24:52.876,
37,ADD_CONTACT,0,2021-12-06 12:19:40.473,
38,EDIT_CONTACT,0,2021-12-08 05:10:54.234,
39,VIEW_CONTACTS,0,2021-12-19 00:13:39.237,
40,EDIT_CONTACT,0,2021-12-06 17:01:41.822,
41,VIEW_CONTACTS,0,2021-12-17 09:31:19.126,
42,VIEW_CONTACTS,0,2021-11-24 19:43:46.508,
43,ADD_CONTACT,0,2021-12-16 21:37:24.684,
44,ADD_CONTACT,0,2021-12-17 09:22:59.908,
45,ADD_CONTACT,0,2021-11-24 06:13:00.625,
46,EDIT_CONTACT,0,2021-12-31 05:20:50.919,
47,VIEW_CONTACTS,0,2021-12-09 23:59:49.902,
48,EDIT_CONTACT,0,2021-12-19 06:46:05.348,
49,WELCOME,1,2020-09-09 02:00:55.102,
50,CONNECT_CRM,1,2021-03-21 18:39:56.304,
51,VIEW_CONTACTS,1,2021-05-20 08:25:12.902,
52,VIEW_CONTACTS,1,2021-11-28 10:28:35.150,
53,ADD_CONTACT,1,2021-04-19 05:32:14.105,
54,ADD_CONTACT,1,2021-04-10 21:02:32.555,
55,VIEW_CONTACTS,1,2021-11-08 20:52:02.200,
56,ADD_CONTACT,1,2021-08-01 14:22:46.729,
57,EDIT_CONTACT,1,2021-09-15 02:38:42.438,
58,VIEW_CONTACTS,1,2021-08-22 18:18:50.929,
59,EDIT_CONTACT,1,2021-05-11 21:05:53.915,
60,EDIT_CONTACT,1,2021-10-25 09:00:36.538,
61,ADD_CONTACT,1,2021-10-10 16:56:54.144,
62,EDIT_CONTACT,1,2021-05-23 21:53:42.851,
63,ADD_CONTACT,1,2021-07-09 01:58:40.597,
64,VIEW_CONTACTS,1,2021-05-24 14:50:51.654,
65,EDIT_CONTACT,1,2021-09-30 16:45:13.182,
66,EDIT_CONTACT,1,2021-12-07 22:23:41.048,
67,EDIT_CONTACT,1,2021-06-03 18:10:53.867,
68,VIEW_CONTACTS,1,2021-03-24 16:18:46.827,
69,ADD_CONTACT,1,2021-10-21 03:43:55.964,
70,ADD_CONTACT,1,2021-10-13 13:47:01.435,
71,EDIT_CONTACT,1,2021-08-27 08:27:47.712,
72,VIEW_CONTACTS,1,2021-06-15 09:22:03.178,
73,EDIT_CONTACT,1,2021-03-29 22:01:51.849,
74,VIEW_CONTACTS,1,2021-07-26 08:11:17.331,
75,VIEW_CONTACTS,1,2021-06-15 16:40:37.734,
76,ADD_CONTACT,1,2021-04-30 02:52:11.410,
77,ADD_CONTACT,1,2021-11-05 22:20:32.014,
78,VIEW_CONTACTS,1,2021-10-02 00:42:07.021,
